DATE,PN02312FM,PD37976BM,PN02028AM,PD37972BM,PD37974BM,Class
2007-01-01,0.011620818451861581,0.015257657870009211,0.012364074947507575,0.005887134882617495,0.013475076274856335,0
2007-02-01,0.011355786003331758,0.015182266996555782,0.012490682001891962,0.0054267424210747706,0.012430293505858003,0
2007-03-01,0.011061818342557928,0.015044534204338156,0.012514112129950128,0.005845253868794309,0.011574021457956718,0
2007-04-01,0.01100522974949314,0.015323952250638762,0.01245811151343812,0.007320118037505097,0.011498776212930828,0
2007-05-01,0.011263248343235333,0.015515059442392065,0.01226845922523978,0.009173700318998002,0.011967882576197297,0
2007-06-01,0.011207155298540883,0.015435951174201712,0.011865086639968325,0.01086972368900696,0.012939378810340685,0
2007-07-01,0.010610979266839848,0.015686426760205485,0.011492466687020197,0.01224015141486312,0.014816093677376685,0
2007-08-01,0.01012934762537121,0.01645750884649555,0.011076351509659688,0.013146266349000513,0.017193485031891775,0
2007-09-01,0.010060285613556985,0.01785191878877601,0.010630406138817605,0.013693656763976492,0.02000491433077034,0
2007-10-01,0.010136145650081474,0.018866277829702405,0.01021960139827538,0.013440160940631607,0.02290616250373656,0
2007-11-01,0.010107825457028596,0.01910494449766631,0.009821786417489875,0.012437195884150043,0.02519832336089145,0
2007-12-01,0.010125894852668793,0.018829461513177215,0.00929224821594321,0.011398711632383929,0.026917679841788278,0
2008-01-01,0.010234573616980214,0.017733907085516698,0.008413970948438987,0.010362891299772414,0.028604445099831288,0
2008-02-01,0.010110953861703464,0.015237075282029444,0.007088153634053462,0.008830633127969278,0.02979604177390094,0
2008-03-01,0.009321820393381586,0.011450463267093092,0.00537795990751988,0.006211274255933041,0.029586535717204043,0
2008-04-01,0.007327473475401192,0.006974961944646196,0.003608491425064031,0.0026586846499414563,0.027560788150294613,0
2008-05-01,0.004650728814716842,0.0021589953841889553,0.001840589741208376,-0.0012457374530940868,0.023862495946868734,0
2008-06-01,0.0017466718964147532,-0.0026524444452968865,3.323265229582262e-05,-0.005087426273864715,0.01876238467148017,0
2008-07-01,-0.001309640282768143,-0.007297243338648229,-0.0018466732974342648,-0.008724463771739188,0.012720433463512926,0
2008-08-01,-0.004236792093349706,-0.01165521342614717,-0.003670714599156355,-0.011619803360503056,0.006493835871271614,0
2008-09-01,-0.006684915696977711,-0.01567069573202584,-0.005275456423133207,-0.013577683848790656,0.0005582475221324046,0
2008-10-01,-0.008548676462487137,-0.01875197001573259,-0.006655122232705146,-0.014352109552939751,-0.004765043167695104,1
2008-11-01,-0.009878281991314353,-0.0207318837722541,-0.007812617126290888,-0.013712499764099384,-0.009299050634097306,1
2008-12-01,-0.010720867430976,-0.0218341766316259,-0.008416557874345365,-0.012872381068604,-0.013178884345479425,1
2009-01-01,-0.01120868510391304,-0.021587664269611118,-0.008243120233801804,-0.012324845311961319,-0.016667351530760932,1
2009-02-01,-0.01088611615653079,-0.019150202395754157,-0.007298918763204654,-0.011385943078508376,-0.01934534844995106,1
2009-03-01,-0.009137874533603707,-0.014632509596881782,-0.005586153455203302,-0.009632572828824237,-0.020274656301724647,1
2009-04-01,-0.006105381239008167,-0.008965268745006583,-0.0035340001535884014,-0.007245971532851669,-0.019082793073727622,1
2009-05-01,-0.0021976757822255166,-0.0023247400587926847,-0.0012265251994989512,-0.0042241032553498314,-0.01522638006717525,1
2009-06-01,0.0023597817882237138,0.004573764911551592,0.0013729111348217415,-0.0006361201896982749,-0.008731445751617883,1
2009-07-01,0.006952036720322852,0.011070676822863668,0.0041475165650570744,0.003218503775879178,-0.0006557975256686888,0
2009-08-01,0.010922455918029428,0.016378176583021542,0.006859885042573843,0.006527931685648802,0.007838307207188144,0
2009-09-01,0.013898212490170536,0.020252437630053244,0.00925848647756844,0.009138010099359661,0.015631613516681853,0
2009-10-01,0.01591162023644266,0.023073191891099576,0.011247736603297476,0.010682470182934445,0.021654638395145476,0
2009-11-01,0.01724523041031034,0.02516678742652978,0.01288517013858037,0.011022636260149987,0.025887418889234404,0
2009-12-01,0.017907054615204032,0.0263073120534294,0.014048501256061385,0.011164266224335861,0.028682298147833407,0
2010-01-01,0.018147668238466252,0.026204306919981768,0.014561009697678706,0.011652022374959436,0.03031692442832412,0
2010-02-01,0.017883086155098482,0.025062144450604507,0.014503276880858174,0.012411448608352416,0.03081697365302105,0
2010-03-01,0.017171927271139253,0.02325573847820639,0.014067479161712804,0.013129685866190677,0.03038020273813835,0
2010-04-01,0.016352693619211323,0.020932618334962072,0.013392289919844202,0.013862724218473232,0.028821921749448975,0
2010-05-01,0.015536474559628033,0.018325896925188268,0.012608174355162483,0.014492112679778124,0.025921768353367902,0
2010-06-01,0.014899215425240087,0.016172859767645598,0.011842259679951894,0.01490512828530477,0.022315700966633933,0
2010-07-01,0.014632683579870687,0.014649895851584382,0.010927554550917762,0.015152972254993458,0.01848593722780123,0
2010-08-01,0.014541753378541245,0.013759561257336905,0.009925376756557469,0.014978056130818374,0.014637719066818988,0
2010-09-01,0.014565807449066881,0.013054857495180983,0.008883217234669338,0.01418009712385171,0.011034988012877278,0
2010-10-01,0.014604528659125648,0.011593640539153682,0.0077993292581703955,0.013416891961913535,0.00827681598728347,0
2010-11-01,0.01464641173093284,0.009518389379096881,0.006768456779268739,0.012880300855804272,0.007215916091485752,0
